Group,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD
Legionella_israelensis,2.95E-06,5.52E-06,9.26E-06,1.15E-05,9.97E-06,1.14E-05,1.73E-06,3.89E-06,7.10E-06,8.68E-06,7.21E-06,1.90E-05,9.96E-06,1.22E-05,3.76E-06,4.06E-06,7.59E-06,8.65E-06,7.88E-06,1.98E-05,1.20E-05,8.56E-06,2.47E-05,8.79E-06,1.31E-05,9.76E-06,3.15E-06,8.88E-06,1.92E-05,1.11E-05,3.06E-05,1.73E-05,1.24E-05,6.32E-06,1.78E-05,2.38E-05,2.06E-05,6.27E-06
Methylomonas_koyamae,3.94E-06,9.31E-07,1.19E-06,2.47E-06,2.05E-06,5.18E-06,2.11E-06,1.75E-06,9.97E-07,5.40E-06,1.98E-06,4.71E-06,2.69E-06,3.25E-06,2.58E-06,1.81E-06,6.52E-07,4.02E-06,2.38E-06,1.26E-05,1.88E-06,2.14E-06,5.70E-06,4.65E-06,3.89E-06,5.18E-06,8.48E-07,5.60E-07,1.54E-05,3.54E-06,7.93E-06,1.01E-05,6.63E-06,1.89E-06,6.42E-06,7.34E-06,8.99E-06,1.14E-06
Methylorubrum_populi,6.54E-06,3.79E-06,4.17E-06,1.76E-05,5.65E-05,2.37E-05,2.63E-05,1.01E-05,2.09E-05,2.83E-05,1.43E-05,3.44E-05,4.68E-05,1.62E-05,8.59E-06,2.11E-05,7.11E-06,1.38E-05,1.60E-05,9.24E-05,2.21E-05,2.99E-05,2.26E-05,5.92E-05,3.89E-05,7.60E-06,8.07E-06,9.80E-06,6.96E-05,7.13E-05,5.04E-05,4.40E-05,4.04E-05,1.21E-05,1.49E-05,6.64E-05,5.81E-05,1.70E-05
Microbacterium_sp._CBA3102,1.06E-06,2.06E-06,1.02E-06,2.86E-06,3.96E-06,3.93E-06,1.90E-06,4.22E-06,6.10E-06,6.76E-06,3.96E-06,4.49E-06,4.59E-06,9.36E-06,8.59E-07,1.10E-06,2.96E-06,1.97E-06,3.50E-06,1.56E-05,4.14E-06,5.80E-06,5.70E-06,1.23E-05,6.52E-06,1.05E-06,4.84E-07,8.40E-07,1.32E-05,1.16E-05,1.44E-05,7.20E-06,6.12E-06,1.68E-06,2.91E-06,2.10E-05,1.01E-05,1.28E-06
Mycoplasma_glycophilum,1.55E-06,2.26E-06,4.27E-06,3.35E-06,3.00E-06,3.87E-06,2.08E-06,2.59E-06,6.73E-06,4.84E-06,8.69E-06,7.88E-06,5.04E-06,4.20E-06,2.04E-06,8.84E-06,3.32E-06,9.20E-07,2.50E-06,1.17E-05,2.26E-06,7.54E-06,6.48E-06,9.95E-06,7.51E-06,3.73E-06,1.82E-06,2.64E-06,8.83E-06,1.39E-05,1.30E-05,1.33E-05,4.97E-06,4.23E-06,4.40E-06,1.47E-05,2.12E-05,2.85E-06
Novibacillus_thermophilus,1.55E-06,6.45E-06,2.68E-06,1.08E-05,1.35E-05,2.22E-05,4.55E-06,1.04E-05,1.30E-05,2.21E-05,6.60E-06,9.30E-06,8.62E-06,1.55E-05,8.27E-06,6.51E-06,3.26E-06,4.97E-06,4.88E-06,2.68E-05,9.70E-06,1.34E-05,1.09E-05,3.15E-05,1.74E-05,3.34E-06,4.48E-06,8.36E-06,2.29E-05,2.82E-05,2.13E-05,2.05E-05,1.89E-05,6.65E-06,1.06E-05,2.83E-05,3.05E-05,3.99E-06
Oceanobacillus_kimchii,3.52E-06,8.05E-06,3.42E-06,2.04E-05,2.58E-05,2.24E-05,1.39E-05,7.21E-06,1.45E-05,2.41E-05,6.55E-06,1.63E-05,7.28E-06,8.41E-06,8.97E-06,7.48E-06,3.20E-06,1.22E-05,7.88E-06,3.90E-05,9.04E-06,1.92E-05,1.22E-05,1.27E-05,3.24E-05,1.03E-05,2.09E-05,1.68E-05,3.04E-05,2.73E-05,3.14E-05,1.84E-05,2.21E-05,8.75E-06,1.77E-05,2.78E-05,4.99E-05,5.70E-06
Octadecabacter_antarcticus,9.85E-07,4.72E-06,1.70E-06,5.55E-06,1.19E-05,7.93E-06,1.29E-05,3.04E-06,1.74E-06,5.95E-06,5.94E-06,1.07E-05,1.52E-05,5.16E-06,3.76E-06,9.80E-06,2.55E-06,1.58E-06,4.25E-06,2.43E-05,7.06E-06,1.69E-05,6.77E-06,1.21E-05,1.45E-05,2.82E-06,2.70E-06,6.04E-06,3.01E-05,1.84E-05,1.46E-05,2.16E-05,9.26E-06,5.42E-06,1.72E-05,1.38E-05,1.79E-05,3.06E-06
Paenibacillus_yonginensis,5.63E-06,1.90E-05,9.56E-06,2.20E-05,2.81E-05,3.30E-05,2.03E-05,1.26E-05,2.87E-05,3.15E-05,1.45E-05,3.22E-05,3.03E-05,2.41E-05,1.79E-05,2.44E-05,8.89E-06,1.33E-05,1.91E-05,5.16E-05,2.40E-05,3.42E-05,2.77E-05,4.11E-05,4.65E-05,1.57E-05,8.48E-06,8.52E-06,5.24E-05,4.41E-05,4.61E-05,3.20E-05,3.76E-05,1.15E-05,3.02E-05,7.13E-05,6.09E-05,6.98E-06
Pandoraea_oxalativorans,4.29E-06,3.86E-06,8.31E-06,1.18E-05,1.72E-05,8.99E-06,1.33E-05,1.06E-05,1.47E-05,1.31E-05,9.96E-06,1.70E-05,2.25E-05,8.98E-06,6.39E-06,2.03E-05,9.24E-06,6.70E-06,1.20E-05,3.39E-05,1.51E-05,1.88E-05,1.63E-05,2.93E-05,1.87E-05,5.63E-06,2.26E-06,4.08E-06,2.75E-05,2.08E-05,3.21E-05,1.87E-05,3.14E-05,1.13E-05,1.49E-05,1.80E-05,2.15E-05,5.84E-06
